#1405,"Off-Market on 05/15/2018 at $3,680",studio,1 bath,889 ftsq
#1407,"Off-Market on 06/05/2018 at $5,585",2 beds,2 baths,"1,079 ftsq"
#1408,"Off-Market on 02/17/2013 at $2,960",studio,1 bath,591 ftsq
#1409,"Off-Market on 06/28/2017 at $3,400",studio,1 bath,618 ftsq
#1410,"Off-Market on 05/16/2016 at $3,023",studio,1 bath,576 ftsq
#1411,"Off-Market on 05/26/2018 at $5,595",2 beds,2 baths,"1,080 ftsq"
#1412,"Off-Market on 06/27/2018 at $4,035",1 bed,1 bath,678 ftsq
#1413,"Off-Market on 07/24/2018 at $3,620",studio,1 bath,675 ftsq
#1415,"Off-Market on 09/06/2017 at $2,846",studio,1 bath,487 ftsq
#1416,"Off-Market on 09/10/2018 at $3,016",studio,1 bath,487 ftsq
#1417,"Off-Market on 04/17/2018 at $2,995",studio,1 bath,475 ftsq
#1418,Off-Market,,,
#1419,"Off-Market on 07/13/2016 at $2,805",studio,1 bath,472 ftsq
#1420,"Off-Market on 11/27/2018 at $3,113",studio,1 bath,473 ftsq
#1421,"Off-Market on 07/03/2018 at $3,173",studio,1 bath,557 ftsq
#1423,"Off-Market on 02/15/2018 at $3,890",1 bed,1 bath,818 ftsq
#1424,"Off-Market on 04/24/2018 at $3,410",studio,1 bath,825 ftsq
#1425,Off-Market,,,
#1504,"Off-Market on 07/05/2018 at $3,940",2 beds,1 bath,818 ftsq
#1507,"Off-Market on 07/26/2017 at $6,399",2 beds,2 baths,"1,079 ftsq"
#1508,"Off-Market on 07/24/2017 at $3,428",studio,1 bath,591 ftsq
#1509,"Off-Market on 02/26/2018 at $3,175",studio,1 bath,618 ftsq
#1512,"Off-Market on 08/31/2017 at $3,770",1 bed,1 bath,678 ftsq
#1513,"Off-Market on 06/16/2018 at $3,620",studio,1 bath,675 ftsq
#1514,"Off-Market on 09/27/2016 at $3,764",studio,1 bath,694 ftsq
#1516,"Off-Market on 08/07/2017 at $2,979",studio,1 bath,487 ftsq
#1517,"Off-Market on 09/08/2014 at $2,824",studio,1 bath,475 ftsq
#1519,"Off-Market on 08/15/2017 at $2,795",studio,1 bath,464 ftsq
#1520,"Off-Market on 06/09/2018 at $2,795",studio,1 bath,476 ftsq
#1521,"Off-Market on 12/23/2016 at $3,240",studio,1 bath,
#1522,"Off-Market on 07/29/2017 at $5,340",2 beds,1 bath,947 ftsq
#1523,"Off-Market on 05/04/2018 at $3,995",1 bed,1 bath,818 ftsq
