#-802,Off-Market,,,
#1710,"Sold on 10/06/2006 for $1,935,000",,,
#1712,"Off-Market on 12/19/2017 at $6,995",1.5 beds,2 baths,"1,809 ftsq"
#1714,"Off-Market on 04/24/2009 at $1,800,000",2 beds,2 baths,"2,028 ftsq"
#1716,"Sold on 10/30/2017 for $2,095,000",1 bed,2 baths,"1,727 ftsq"
#1720,"Sold on 11/15/2017 for $2,900,000",3 beds,3 baths,"2,300 ftsq"
#1720S,"Sold on 05/30/2011 for $2,295,000",3 beds,3 baths,"2,300 ftsq"
#1722,"Off-Market on 06/03/2014 at $3,000",studio,1 bath,721 ftsq
#1724,"Sold on 07/11/2007 for $1,255,000",2 beds,2 baths,"1,510 ftsq"
#1726,"Sold on 04/19/2012 for $582,500",studio,2 baths,"1,429 ftsq"
#1728,"Off-Market on 10/25/2018 at $4,000",studio,1 bath,916 ftsq
#1728F,"Off-Market on 07/22/2009 at $4,000",studio,1 bath,916 ftsq
#1730,"Off-Market on 03/03/2018 at $4,900",studio,1 bath,"1,418 ftsq"
#1800,"Off-Market on 06/06/2013 at $4,500",1 bed,1 bath,"1,576 ftsq"
#1801,"Off-Market on 05/05/2017 at $3,300",1 bed,1 bath,
#1802,"Sold on 02/25/2014 for $975,000",1 bed,1 bath,943 ftsq
#1804,"Sold on 05/03/2006 for $809,508",,,
#1806,"Off-Market on 07/30/2018 at $4,999",studio,1 bath,"1,077 ftsq"
#1808,"Sold on 06/13/2007 for $776,000",,,
#1810,"Off-Market on 04/18/2018 at $13,500",3 beds,3 baths,"2,220 ftsq"
#1812,"Off-Market on 02/08/2018 at $2,200,000",2 beds,2 baths,"1,809 ftsq"
#1814,"Sold on 06/21/2006 for $1,257,538",,,
#1816,"Off-Market on 08/24/2016 at $6,800",1 bed,2 baths,"1,727 ftsq"
#1820,Sold on 06/17/2008 for $10,,,
#1822,"Sold on 07/08/2016 for $960,000",studio,1 bath,800 ftsq
#1824,"Sold on 11/19/2018 for $1,875,000",1 bed,2 baths,"1,524 ftsq"
#1826,"Sold on 07/25/2016 for $1,590,000",2 beds,2 baths,"1,430 ftsq"
#1828,"Off-Market on 06/16/2017 at $1,200,000",studio,1 bath,916 ftsq
