#2413,"Off-Market on 11/18/2013 at $2,795",1 bed,1 bath,
#2501,"Off-Market on 12/16/2018 at $4,450",3 beds,1 bath,750 ftsq
#2502,"Off-Market on 12/03/2018 at $3,043",1 bed,1 bath,800 ftsq
#2504,"Off-Market on 06/29/2015 at $3,375",studio,1 bath,
#2505,"Off-Market on 08/22/2017 at $3,595",studio,1 bath,
#2506,Off-Market,,,750 ftsq
#2507,"Off-Market on 12/10/2018 at $3,064",studio,1 bath,
#2508,"Off-Market on 10/19/2017 at $3,225",studio,1 bath,570 ftsq
#2509,"Off-Market on 08/19/2014 at $2,975",studio,1 bath,
#2510,"Off-Market on 08/30/2018 at $2,765",studio,1 bath,564 ftsq
#2511,"Off-Market on 04/04/2016 at $3,400",studio,1 bath,752 ftsq
#2602,"Off-Market on 08/06/2011 at $2,525",2 beds,1 bath,
#2603,"Off-Market on 02/20/2018 at $3,853",1 bed,1 bath,
#2604,"Off-Market on 07/28/2014 at $3,195",studio,1 bath,541 ftsq
#2605,"Off-Market on 06/24/2015 at $4,150",studio,1 bath,
#2606,Off-Market,,,590 ftsq
#2607,"Off-Market on 03/28/2016 at $3,350",studio,1 bath,763 ftsq
#2608,"Off-Market on 04/17/2013 at $2,995",studio,1 bath,625 ftsq
#2609,"Off-Market on 05/14/2014 at $2,914",2 beds,1 bath,723 ftsq
#2701,"Off-Market on 11/27/2017 at $3,510",1 bed,1 bath,816 ftsq
#2702,"Off-Market on 08/24/2018 at $3,133",studio,1 bath,
#2703,"Off-Market on 11/09/2017 at $3,254",studio,1 bath,665 ftsq
#2705,"Off-Market on 08/16/2018 at $3,277",studio,1 bath,850 ftsq
#2706,Off-Market,,,
#2707,"Off-Market on 06/19/2018 at $2,884",studio,1 bath,
#2708,"Off-Market on 11/14/2016 at $2,652",studio,1 bath,545 ftsq
#2709,"Off-Market on 12/14/2012 at $2,795",studio,1 bath,700 ftsq
#2801,"Off-Market on 05/15/2014 at $4,195",1 bed,1 bath,796 ftsq
