#6E,Off-Market,,,
31A-WEST,"Listed for sale at $5,575,000",2 beds,2.5 baths,"1,624 ftsq"
31B-WEST,"Off-Market on 02/21/2017 at $7,350,000",3 beds,3.5 baths,"2,177 ftsq"
31BWEST,"Off-Market on 01/04/2018 at $7,350,000",3 beds,3.5 baths,"2,177 ftsq"
31-ABWEST,Off-Market,,,"3,801 ftsq"
31AB-WEST,"Off-Market on 12/18/2017 at $13,450,000",5 beds,5+ baths,"3,801 ftsq"
31ABWEST,"Off-Market on 07/14/2017 at $13,450,000",5 beds,5 baths,"3,801 ftsq"
31FLRBWEST,"Off-Market on 05/01/2017 at $21,000",3 beds,3.5 baths,"2,177 ftsq"
#32AE,Off-Market,,,
#32BE,"Listed for rent at $13,500",2 beds,2.5 baths,"1,668 ftsq"
#32AW,"Sold on 07/14/2016 for $4,361,060",,,
#32BW,"Sold on 08/01/2016 for $6,155,462",,,
32A-EAST,"Off-Market on 05/09/2017 at $6,750,000",3 beds,3.5 baths,"2,175 ftsq"
32B-EAST,"Off-Market on 08/18/2016 at $4,850,000",2 beds,2.5 baths,"1,668 ftsq"
32BEAST,Off-Market,,,
32A-WEST,"Off-Market on 08/15/2016 at $14,500",2 beds,2.5 baths,"1,624 ftsq"
32B-WEST,"Off-Market on 08/19/2016 at $6,325,000",3 beds,3.5 baths,"2,177 ftsq"
32BWEST,"Off-Market on 11/09/2018 at $7,150,000",3 beds,3 baths,"2,177 ftsq"
#33AE,Off-Market,,,
#33BE,"Sold on 07/27/2016 for $4,394,069",,,
#33AW,"Sold on 09/09/2016 for $4,648,335",,,
#33BW,"Sold on 08/15/2016 for $6,435,389",,,
33A-EAST,"Off-Market on 03/27/2017 at $5,900,000",3 beds,3.5 baths,"2,175 ftsq"
33B-EAST,"Off-Market on 08/11/2016 at $4,350,000",2 beds,2.5 baths,"1,668 ftsq"
33BEAST,"Off-Market on 04/10/2017 at $14,995",2 beds,2.5 baths,"1,668 ftsq"
33-AWEST,"Off-Market on 03/26/2016 at $4,600,000",,,"1,624 ftsq"
33A-WEST,"Off-Market on 09/12/2016 at $4,600,000",2 beds,2.5 baths,"1,624 ftsq"
33B-WEST,"Off-Market on 08/15/2016 at $6,350,000",3 beds,3.5 baths,"2,177 ftsq"
33BWEST,"Off-Market on 11/29/2018 at $25,000",3 beds,3.5 baths,"2,177 ftsq"
#34AE,Off-Market,,,
#34BE,"Sold on 09/30/2016 for $5,005,150",,,
#34AW,"Sold on 07/28/2016 for $4,750,035",,,
#34BW,"Sold on 08/15/2016 for $6,257,389",,,
34A-EAST,"Off-Market on 03/13/2018 at $22,000",3 beds,3.5 baths,"2,175 ftsq"
34AEAST,"Off-Market on 06/22/2017 at $21,000",3 beds,3.5 baths,"2,182 ftsq"
34B-EAST,"Off-Market on 07/19/2017 at $24,000",2 beds,2.5 baths,"1,684 ftsq"
34BEAST,"Off-Market on 08/20/2009 at $4,450,000",2 beds,2.5 baths,"1,684 ftsq"
34A-WEST,"Off-Market on 08/01/2016 at $4,850,000",2 beds,2.5 baths,"1,624 ftsq"
34AWEST,"Off-Market on 08/20/2009 at $4,375,000",2 beds,2.5 baths,"1,629 ftsq"
34B-WEST,"Off-Market on 08/15/2016 at $6,425,000",3 beds,3.5 baths,"2,177 ftsq"
#35AE,Off-Market,,,
#35BE,"Sold on 10/06/2016 for $4,495,897",,,
#35AW,"Sold on 01/07/2017 for $2,333,250",,,
#35BW,"Sold on 09/26/2016 for $6,257,282",,,
35A-EAST,"Off-Market on 12/15/2017 at $16,500",3 beds,3.5 baths,"2,175 ftsq"
35B-EAST,"Off-Market on 06/23/2018 at $14,500",2 beds,2.5 baths,"1,668 ftsq"
35A-WEST,"Off-Market on 01/12/2018 at $5,749,000",2 beds,2.5 baths,"1,624 ftsq"
35AWEST,"Sold on 08/13/2018 for $5,350,000",2 beds,2.5 baths,"1,624 ftsq"
35B-WEST,"Off-Market on 09/27/2016 at $6,525,000",3 beds,3.5 baths,"2,177 ftsq"
35BWEST,"Sold on 11/19/2018 for $7,500,000",3 beds,3.5 baths,"2,177 ftsq"
#38AE,Off-Market,,,
#38BE,"Sold on 08/18/2016 for $3,831,720",,,
#38W,"Off-Market on 07/06/2017 at $36,000",4 beds,4.5 baths,"3,412 ftsq"
38A-EAST,"Off-Market on 05/10/2017 at $8,300,000",3 beds,3.5 baths,"2,648 ftsq"
38AEAST,"Sold on 08/28/2017 for $8,200,000",3 beds,3.5 baths,"2,648 ftsq"
38B-EAST,"Off-Market on 07/12/2018 at $14,500",2 beds,2.5 baths,"1,418 ftsq"
#38WEST,Off-Market,,,"3,412 ftsq"
38-WEST,"Off-Market on 06/27/2017 at $36,000",4 beds,4.5 baths,"3,412 ftsq"
#39AE,Off-Market,,,
#39BE,"Off-Market on 07/25/2017 at $14,900",2 beds,2.5 baths,
#39W,Off-Market,,,
39A-EAST,"Off-Market on 06/05/2017 at $8,375,000",3 beds,3.5 baths,"2,648 ftsq"
39B-EAST,"Off-Market on 08/19/2016 at $4,600,000",2 beds,2.5 baths,"1,418 ftsq"
39BEAST,"Off-Market on 08/20/2009 at $3,850,000",2 beds,2.5 baths,"1,419 ftsq"
39-WEST,"Off-Market on 11/27/2018 at $36,000",4 beds,4.5 baths,"3,411 ftsq"
#40AE,Off-Market,,,
#40BE,"Sold on 08/24/2016 for $4,035,338",,,
#40W,"Sold on 09/01/2016 for $10,978,315",,,
40A-EAST,"Off-Market on 06/05/2017 at $8,450,000",3 beds,3.5 baths,"2,648 ftsq"
40B-EAST,"Off-Market on 05/17/2017 at $12,500",2 beds,2.5 baths,"1,418 ftsq"
#40WEST,"Off-Market on 08/09/2018 at $12,995,000",4 beds,4.5 baths,"3,412 ftsq"
40-WEST,"Off-Market on 09/01/2016 at $12,250,000",4 beds,4.5 baths,"3,412 ftsq"
#41AE,"Off-Market on 11/14/2017 at $23,000",3 beds,3.5 baths,
#41BE,"Sold on 09/15/2016 for $4,238,965",,,
#41W,"Sold on 03/09/2018 for $12,760,449",4 beds,4.5 baths,
#41EAST,"Off-Market on 09/08/2017 at $8,400,000",3 beds,3.5 baths,"2,648 ftsq"
41-EAST,"Off-Market on 12/05/2017 at $8,400,000",3 beds,3.5 baths,"2,648 ftsq"
41-AEAST,Off-Market,,,
41A-EAST,"Off-Market on 06/29/2017 at $8,600,000",3 beds,3.5 baths,"2,648 ftsq"
41AEAST,"Off-Market on 09/11/2017 at $23,500",3 beds,3.5 baths,"2,648 ftsq"
41B-EAST,"Off-Market on 03/29/2017 at $5,450,000",2 beds,2.5 baths,"1,418 ftsq"
41BEAST,"Sold on 07/31/2017 for $4,900,000",2 beds,2.5 baths,
41-WEST,"Off-Market on 03/27/2018 at $13,250,000",4 beds,4.5 baths,"3,412 ftsq"
#42B,"Listed for sale at $5,900,000",2 beds,2.5 baths,
#42AE,Off-Market,,,
#42BE,"Sold on 09/27/2016 for $4,828,853",,,
#42W,"Sold on 09/20/2016 for $12,251,134",,,
42A-EAST,"Off-Market on 06/13/2017 at $8,750,000",3 beds,3.5 baths,"2,648 ftsq"
42B---EAST,Off-Market,,,"1,418 ftsq"
42B-EAST,"Off-Market on 05/17/2017 at $13,500",2 beds,2.5 baths,"1,418 ftsq"
42-WEST,"Off-Market on 09/22/2016 at $12,750,000",4 beds,4.5 baths,"3,412 ftsq"
#43B,"Off-Market on 10/18/2016 at $18,000",2 beds,2.5 baths,"1,418 ftsq"
#43AE,Off-Market,,,
#43BE,"Sold on 09/16/2016 for $4,493,530",,,
#43W,"Sold on 10/13/2016 for $11,396,706",,,
43A-EAST,"Off-Market on 06/05/2017 at $8,900,000",3 beds,3.5 baths,"2,648 ftsq"
43BEAST,"Off-Market on 06/05/2017 at $15,000",2 beds,2.5 baths,"1,418 ftsq"
43-B-EAST,"Off-Market on 07/04/2018 at $16,000",2 beds,2.5 baths,"1,418 ftsq"
43-BEAST,Off-Market,,,"1,418 ftsq"
43B-EAST,"Off-Market on 09/19/2016 at $4,900,000",2 beds,2.5 baths,"1,418 ftsq"
43C-EAST,Off-Market,,,"1,418 ftsq"
