#5013,"Off-Market on 05/20/2010 at $2,850",studio,1 bath,755 ftsq
#5106,"Off-Market on 05/13/2011 at $3,750",1 bed,1 bath,690 ftsq
#5113,"Off-Market on 05/20/2011 at $3,540",1 bed,1 bath,690 ftsq
#5127,"Off-Market on 06/03/2010 at $3,200",1 bed,1 bath,690 ftsq
#5213,"Off-Market on 05/20/2010 at $4,500",2 beds,2 baths,"1,100 ftsq"
#6103,"Off-Market on 06/10/2010 at $3,200",1 bed,1 bath,680 ftsq
#6110,"Off-Market on 06/17/2011 at $3,500",1 bed,1 bath,677 ftsq
#6117,"Off-Market on 06/24/2011 at $3,550",1 bed,1 bath,677 ftsq
#6118,"Off-Market on 06/24/2011 at $3,995",1 bed,1 bath,769 ftsq
#6124,"Off-Market on 06/30/2011 at $3,995",1 bed,1 bath,769 ftsq
#6125,"Off-Market on 06/30/2011 at $3,860",1 bed,1 bath,677 ftsq
#6224,"Off-Market on 06/30/2011 at $6,685",2 beds,2 baths,"1,214 ftsq"
#7002,"Off-Market on 07/08/2010 at $2,810",studio,1 bath,745 ftsq
#7008,"Off-Market on 07/16/2010 at $2,810",studio,1 bath,755 ftsq
#7016,"Off-Market on 07/23/2010 at $2,810",studio,1 bath,755 ftsq
#7023,"Off-Market on 07/29/2010 at $2,810",studio,1 bath,755 ftsq
#7029,"Off-Market on 08/06/2010 at $2,810",studio,1 bath,755 ftsq
#7101,"Off-Market on 07/08/2011 at $3,895",1 bed,1 bath,825 ftsq
#7102,"Off-Market on 07/08/2011 at $4,000",1 bed,1 bath,677 ftsq
#7103,"Off-Market on 07/08/2011 at $6,685",2 beds,2 baths,"1,214 ftsq"
#7108,"Off-Market on 07/16/2010 at $3,100",1 bed,1 bath,670 ftsq
#7116,"Off-Market on 07/23/2010 at $3,580",1 bed,1 bath,885 ftsq
#7202,"Off-Market on 07/08/2010 at $4,695",2 beds,2 baths,"1,125 ftsq"
#8106,"Off-Market on 08/13/2010 at $3,050",1 bed,1 bath,640 ftsq
#8107,"Off-Market on 08/13/2010 at $3,160",1 bed,1 bath,700 ftsq
#8113,"Off-Market on 08/20/2010 at $3,050",1 bed,1 bath,640 ftsq
#8114,"Off-Market on 08/20/2010 at $3,160",1 bed,1 bath,700 ftsq
#8120,"Off-Market on 08/27/2010 at $3,050",1 bed,1 bath,640 ftsq
#8121,"Off-Market on 08/27/2010 at $3,160",1 bed,1 bath,700 ftsq
#8206,"Off-Market on 08/13/2010 at $4,650",2 beds,2 baths,"1,125 ftsq"
#8213,"Off-Market on 08/20/2010 at $4,650",2 beds,2 baths,"1,125 ftsq"
#8214,"Off-Market on 08/20/2010 at $5,100",2 beds,2 baths,"1,200 ftsq"
#8220,"Off-Market on 08/27/2010 at $4,735",2 beds,2 baths,"1,125 ftsq"
#8221,"Off-Market on 08/27/2010 at $5,100",2 beds,2 baths,"1,200 ftsq"
#8227,"Off-Market on 09/03/2010 at $4,725",2 beds,2 baths,"1,125 ftsq"
#8228,"Off-Market on 09/03/2010 at $5,100",2 beds,2 baths,"1,200 ftsq"
#9010,"Off-Market on 09/17/2010 at $3,295",studio,1 bath,"1,140 ftsq"
#9017,"Off-Market on 09/24/2010 at $3,295",studio,1 bath,"1,140 ftsq"
#9024,"Off-Market on 10/01/2010 at $3,295",studio,1 bath,"1,140 ftsq"
#9103,"Off-Market on 09/10/2010 at $3,350",1 bed,1 bath,660 ftsq
#9110,"Off-Market on 09/17/2010 at $3,050",1 bed,1 bath,600 ftsq
#9111,"Off-Market on 09/17/2010 at $3,350",1 bed,1 bath,660 ftsq
#9117,"Off-Market on 09/24/2010 at $3,150",1 bed,1 bath,660 ftsq
#9124,"Off-Market on 10/01/2010 at $3,050",1 bed,1 bath,600 ftsq
#9210,"Off-Market on 09/17/2010 at $4,300",2 beds,2 baths,960 ftsq
#9217,"Off-Market on 09/24/2010 at $5,700",2 beds,2 baths,"1,215 ftsq"
#10101,"Off-Market on 10/07/2010 at $3,115",1 bed,1 bath,700 ftsq
#10102,"Off-Market on 10/07/2010 at $3,535",1 bed,1 bath,690 ftsq
#10107,"Off-Market on 10/15/2010 at $3,060",1 bed,1 bath,700 ftsq
#10108,"Off-Market on 10/15/2010 at $3,535",1 bed,1 bath,690 ftsq
#10109,"Off-Market on 10/15/2010 at $2,950",1 bed,1 bath,580 ftsq
#10115,"Off-Market on 10/22/2010 at $3,535",1 bed,1 bath,690 ftsq
#10116,"Off-Market on 10/22/2010 at $2,950",1 bed,1 bath,580 ftsq
#10117,"Off-Market on 10/22/2010 at $3,875",1 bed,1 bath,825 ftsq
#10121,"Off-Market on 10/29/2010 at $3,535",1 bed,1 bath,690 ftsq
#10123,"Off-Market on 10/29/2010 at $3,875",1 bed,1 bath,825 ftsq
#10129,"Off-Market on 11/04/2010 at $3,535",1 bed,1 bath,690 ftsq
#10130,"Off-Market on 11/04/2010 at $3,760",1 bed,1 bath,825 ftsq
#10207,"Off-Market on 10/15/2010 at $4,700",2 beds,2 baths,"1,200 ftsq"
#11011,"Off-Market on 11/19/2010 at $3,125",studio,1 bath,"1,135 ftsq"
#11019,"Off-Market on 12/03/2010 at $3,125",studio,1 bath,"1,135 ftsq"
#11104,"Off-Market on 11/11/2010 at $3,110",1 bed,1 bath,690 ftsq
#11105,"Off-Market on 11/11/2010 at $3,495",1 bed,1 bath,690 ftsq
#11106,"Off-Market on 11/11/2010 at $3,760",1 bed,1 bath,825 ftsq
#11111,"Off-Market on 11/19/2010 at $3,450",1 bed,1 bath,690 ftsq
#11112,"Off-Market on 11/19/2010 at $3,760",1 bed,1 bath,825 ftsq
#11119,"Off-Market on 12/03/2010 at $3,450",1 bed,1 bath,690 ftsq
#11120,"Off-Market on 12/03/2010 at $3,760",1 bed,1 bath,825 ftsq
#11211,"Off-Market on 11/19/2010 at $4,345",2 beds,2 baths,970 ftsq
#11219,"Off-Market on 12/03/2010 at $4,345",2 beds,2 baths,970 ftsq
#11220,"Off-Market on 12/03/2010 at $5,900",2 beds,2 baths,"1,050 ftsq"
#12103,"Off-Market on 12/10/2010 at $3,450",1 bed,1 bath,690 ftsq
#12104,"Off-Market on 12/10/2010 at $3,760",1 bed,1 bath,825 ftsq
#12110,"Off-Market on 12/17/2010 at $3,350",1 bed,1 bath,690 ftsq
