#24F,"Off-Market on 12/29/2010 at $13,200",3 beds,3.5 baths,"2,100 ftsq"
#24G,"Off-Market on 11/27/2012 at $5,800",2 beds,2 baths,"1,190 ftsq"
#25A,"Off-Market on 08/14/2014 at $10,000",3 beds,3 baths,"1,698 ftsq"
#25B,"Sold on 03/16/2007 for $1,486,645",,,
#25C,"Sold on 07/16/2018 for $1,615,000",2 beds,2 baths,"1,150 ftsq"
#25D,"Sold on 04/30/2015 for $900,000",1 bed,1.5 baths,875 ftsq
#25E,"Off-Market on 04/24/2008 at $6,495",2 beds,2.5 baths,"1,526 ftsq"
#25F,"Off-Market on 02/12/2016 at $11,950",3 beds,3.5 baths,
#25G,"Sold on 08/12/2011 for $1,550,000",2 beds,2 baths,"1,190 ftsq"
#26A,"Sold on 03/30/2007 for $3,690,138",,,
#26C,Sold on 11/19/2012 for $0,,,
#26D,"Off-Market on 12/04/2018 at $3,995",1 bed,1.5 baths,875 ftsq
#26E,Sold on 12/17/2012 for $0,2 beds,2 baths,"1,526 ftsq"
#26F,"Sold on 10/12/2012 for $2,565,000",3 beds,3 baths,"2,095 ftsq"
#26G,"Sold on 01/15/2018 for $2,120,000",2 beds,2 baths,"1,100 ftsq"
#27A,"Sold on 05/02/2013 for $2,120,000",3 beds,3 baths,"1,698 ftsq"
#27B,"Sold on 03/26/2007 for $1,527,375",,,
#27C,"Off-Market on 05/07/2018 at $6,200",2 beds,2 baths,"1,150 ftsq"
#27D,"Off-Market on 08/24/2017 at $4,280",1 bed,1.5 baths,875 ftsq
#27E,"Off-Market on 09/03/2015 at $7,900",2 beds,2.5 baths,"1,526 ftsq"
#27F,"Off-Market on 08/03/2013 at $13,500",3 beds,3.5 baths,"2,100 ftsq"
#27G,"Off-Market on 07/15/2017 at $7,000",2 beds,2 baths,"1,190 ftsq"
#28A,"Off-Market on 08/12/2008 at $10,000",3 beds,3 baths,"1,698 ftsq"
#28B,"Off-Market on 12/23/2016 at $7,150",2 beds,2.5 baths,"1,404 ftsq"
#28C,"Sold on 07/06/2011 for $1,080,000",2 beds,2 baths,"1,150 ftsq"
#28D,"Off-Market on 07/14/2017 at $4,000",1 bed,1.5 baths,875 ftsq
#28E,Sold on 12/30/2010 for $0,,,
#28F,"Off-Market on 08/11/2014 at $15,000",3 beds,3.5 baths,"2,097 ftsq"
#28G,"Off-Market on 03/31/2017 at $6,900",2 beds,2 baths,"1,190 ftsq"
#29A,"Sold on 08/03/2010 for $2,100,000",3 beds,3 baths,"1,698 ftsq"
#29B,"Sold on 12/18/2013 for $1,785,000",2 beds,2.5 baths,"1,404 ftsq"
#29C,"Off-Market on 10/04/2018 at $6,200",2 beds,2 baths,
#29D,"Sold on 03/23/2015 for $980,000",1 bed,1.5 baths,875 ftsq
#29E,"Sold on 08/06/2013 for $1,690,000",2 beds,2.5 baths,"1,526 ftsq"
#29F,"Off-Market on 04/24/2017 at $12,500",3 beds,3.5 baths,"2,097 ftsq"
#29G,"Off-Market on 06/01/2018 at $5,995",2 beds,2 baths,"1,190 ftsq"
#30,"Off-Market on 01/16/2014 at $3,650",1 bed,1.5 baths,875 ftsq
#30A,"Off-Market on  at $3,250,000",3 beds,3 baths,"1,698 ftsq"
#30B,"Sold on 12/30/2014 for $1,975,000",2 beds,2.5 baths,"1,404 ftsq"
#30C,"Sold on 04/16/2007 for $1,201,535",,,
#30D,"Off-Market on 10/18/2016 at $4,150",1 bed,1.5 baths,875 ftsq
#30E,"Off-Market on 08/17/2012 at $7,250",2 beds,2.5 baths,"1,526 ftsq"
#30F,"Off-Market on 02/06/2018 at $12,500",3 beds,3.5 baths,
#30G,"Off-Market on 01/09/2017 at $6,500",2 beds,2 baths,"1,190 ftsq"
#31,"Off-Market on 02/25/2010 at $1,550,000",2 beds,2.5 baths,"1,404 ftsq"
#31A,"Sold on 05/28/2013 for $2,174,600",3 beds,3 baths,"1,698 ftsq"
#31B,"Sold on 12/10/2013 for $1,690,000",2 beds,2.5 baths,"1,404 ftsq"
#31C,"Off-Market on 10/31/2017 at $6,000",2 beds,2 baths,"1,150 ftsq"
#31E,"Off-Market on 05/20/2008 at $18,500",4 beds,4 baths,"2,401 ftsq"
