#913,"Off-Market on 03/22/2018 at $2,796",studio,1 bath,663 ftsq
#914,"Sold on 05/08/2009 for $615,000",1 bed,1 bath,791 ftsq
#915,"Sold on 09/19/2008 for $814,600",1 bed,1 bath,837 ftsq
#916,"Sold on 09/26/2013 for $707,683",studio,1 bath,688 ftsq
#917,"Off-Market on 04/14/2017 at $2,380",studio,1 bath,
#918,"Off-Market on 12/12/2018 at $2,995",studio,1 bath,
#919,"Sold on 08/14/2012 for $710,000",1 bed,1 bath,798 ftsq
#920,"Sold on 07/07/2015 for $698,000",studio,1 bath,579 ftsq
#921,"Off-Market on 04/27/2015 at $1,699,000",2 beds,2 baths,"1,264 ftsq"
#921_,"Off-Market on 06/09/2015 at $1,699,000",2 beds,2 baths,"1,264 ftsq"
#922,"Off-Market on 01/17/2017 at $4,500",2 beds,2 baths,"1,200 ftsq"
#923,"Off-Market on 10/22/2018 at $2,950",studio,1 bath,600 ftsq
#924,"Sold on 10/27/2015 for $690,000",studio,1 bath,619 ftsq
#925,"Off-Market on 01/25/2018 at $2,795",studio,1 bath,669 ftsq
#926,"Off-Market on 05/23/2018 at $2,950",1 bed,1 bath,652 ftsq
#1001,Sold on 07/19/2017 for $0,studio,1 bath,599 ftsq
#1002,"Off-Market on 07/26/2016 at $2,650",studio,1 bath,572 ftsq
#1003,"Off-Market on 12/08/2017 at $699,000",studio,1 bath,537 ftsq
#1004,"Off-Market on 06/05/2018 at $2,775",studio,1 bath,550 ftsq
#1005,"Off-Market on 08/11/2016 at $3,700",1 bed,1 bath,725 ftsq
#1006,"Sold on 04/11/2012 for $1,020,000",2 beds,2 baths,"1,120 ftsq"
#1007,"Sold on 08/07/2012 for $775,000",,,
#1008,"Sold on 08/06/2018 for $898,000",1 bed,1 bath,700 ftsq
#1009,"Off-Market on 11/05/2014 at $2,600",studio,1 bath,
#1010,"Sold on 12/08/2010 for $600,000",1 bed,1 bath,710 ftsq
#1011,"Off-Market on 01/20/2017 at $2,550",studio,1 bath,500 ftsq
#1012,"Off-Market on 03/19/2018 at $2,775",studio,1 bath,581 ftsq
#1013,"Sold on 12/23/2014 for $712,775",,,
#1014,"Sold on 08/23/2011 for $690,000",1 bed,1 bath,791 ftsq
#1015,"Sold on 02/15/2012 for $740,000",,,
#1016,"Listed for rent at $2,900",studio,1 bath,688 ftsq
#1017,"Sold on 09/19/2008 for $482,664",,,
#1018,"Off-Market on 06/02/2017 at $2,750",studio,1 bath,564 ftsq
#1020,"Off-Market on 06/23/2018 at $2,850",studio,1 bath,579 ftsq
#1021,"Listed for sale at $1,725,000",2 beds,1.5 baths,"1,264 ftsq"
#1022,"Sold on 06/17/2013 for $63,374,561",2 beds,2 baths,"1,116 ftsq"
#10-23,Off-Market,,,650 ftsq
#1023,"Listed for rent at $2,800",studio,1 bath,619 ftsq
#1024,"Off-Market on 04/24/2017 at $2,470",studio,1 bath,570 ftsq
